siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,hplus,svol,ppt,fullChemLab,daysSample,startDate,endDate
CO10,Annual,1999,79,90,80,3.1631571,0.1521253,0.1731081,0.2517936,0.5875184,4.4850735,1.470,0.3567076,2.9952947,.045,25977.7,52.457,29,365,"Feb  2 1999 12:00AM","Dec 29 1999 12:00AM"
CO10,Annual,2000,83,100,85,0.4736072,0.0484371,0.0914923,0.1453113,0.4789891,3.9395508,1.262,0.2852407,1.8513736,.053,26739.0,53.819,36,370,"Dec 29 1999 12:00AM","Jan  2 2001 12:00AM"
CO10,Annual,2001,92,100,87,0.6677594,0.0662662,0.0815584,0.1580194,0.739123,4.3531796,1.558,0.331331,2.1460054,.048,25188.9,50.974,38,364,"Jan  2 2001 12:00AM","Jan  1 2002 12:00AM"
CO10,Annual,2002,96,100,95,0.8071264,0.0647224,0.0533008,0.1256376,0.5253936,3.769128,1.260,0.2055888,1.2830264,.028,22672.3,38.072,34,364,"Jan  1 2002 12:00AM","Dec 31 2002 12:00AM"
CO10,Annual,2003,96,100,97,0.929849,0.0875152,0.0820455,0.109394,0.7493489,3.4896686,1.371,0.2133183,1.859698,.033,28777.7,54.697,37,364,"Dec 31 2002 12:00AM","Dec 30 2003 12:00AM"
CO10,Annual,2004,85,100,93,0.5087876,0.0482471,0.0526332,0.0964942,0.5000154,2.5921851,.974,0.1622857,1.2807412,.022,22069.6,43.861,35,364,"Dec 30 2003 12:00AM","Dec 28 2004 12:00AM"
CO10,Annual,2005,91,100,94,0.7166096,0.065744,0.0788928,0.131488,0.7429072,3.6422176,1.400,0.230104,2.2484448,.042,34186.1,65.744,40,371,"Dec 28 2004 12:00AM","Jan  3 2006 12:00AM"
CO10,Annual,2006,75,100,72,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,21202.9,56.882,30,364,"Jan  3 2006 12:00AM","Jan  2 2007 12:00AM"
CO10,Annual,2007,94,100,98,0.9541055,0.0910955,0.1390405,0.1869855,0.690408,3.1212195,1.242,0.306848,1.553418,.027,28306.2,47.945,41,364,"Jan  2 2007 12:00AM","Jan  1 2008 12:00AM"
CO10,Annual,2008,90,100,93,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,24422.4,49.808,38,364,"Jan  1 2008 12:00AM","Dec 30 2008 12:00AM"
CO10,Annual,2009,85,100,89,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,28676.5,63.543,36,364,"Dec 30 2008 12:00AM","Dec 29 2009 12:00AM"
CO10,Annual,2010,63,98,68,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,23436.9,69.714,27,364,"Dec 29 2009 12:00AM","Dec 28 2010 12:00AM"
CO10,Annual,2011,81,100,86,0.83907,0.083907,0.1062822,0.195783,0.7943196,3.0430272,1.305,0.2629086,1.845954,.023,22337.1,55.938,35,371,"Dec 28 2010 12:00AM","Jan  3 2012 12:00AM"
CO10,Annual,2012,68,98,75,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,19260.8,48.822,26,364,"Jan  3 2012 12:00AM","Jan  1 2013 12:00AM"
CO10,Annual,2013,68,100,76,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,27388.5,76.793,26,365,"Jan  1 2013 12:00AM","Jan  1 2014 12:00AM"
CO10,Annual,2014,81,100,86,0.9099104,0.1056146,0.1137388,0.2599744,1.178009,3.7046352,1.752,0.3412164,1.9335596,.040,27008.7,81.242,34,363,"Jan  1 2014 12:00AM","Dec 30 2014 12:00AM"
CO10,Annual,2015,69,98,71,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,24492.4,67.806,29,364,"Dec 30 2014 12:00AM","Dec 29 2015 12:00AM"
CO10,Annual,2016,66,98,73,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,20210.2,60.188,27,371,"Dec 29 2015 12:00AM","Jan  3 2017 12:00AM"
CO10,Annual,2017,82,100,89,0.960208,0.0960208,0.0900195,0.1380299,1.0022171,3.2046942,1.503,0.2880624,1.6143497,.031,23567.7,60.013,28,364,"Jan  3 2017 12:00AM","Jan  2 2018 12:00AM"
CO10,Annual,2018,82,98,94,0.6719552,0.059996,0.0719952,0.1139924,0.8639424,2.4838344,1.232,0.2159856,0.8219452,.034,24312.4,59.996,33,365,"Jan  2 2018 12:00AM","Jan  2 2019 12:00AM"
CO10,Annual,2019,79,96,91,0.6453362,0.062654,0.0689194,0.1127772,0.751848,1.9986626,1.036,0.219289,0.8520944,.049,27296.5,62.654,32,363,"Jan  2 2019 12:00AM","Jan  1 2020 12:00AM"
CO10,Annual,2020,89,99,90,0.81511,0.077105,0.099135,0.1376875,1.0849775,2.3957625,1.384,0.2258075,1.01338,.041,20544.0,55.075,34,368,"Jan  1 2020 12:00AM","Dec 29 2020 12:00AM"
CO10,Annual,2021,88,99,100,1.0386776,0.095001,0.1520016,0.2343358,1.1020116,2.881697,1.507,0.31667,1.1146784,.027,24953.7,63.334,37,364,"Dec 29 2020 11:43PM","Dec 28 2021  9:08PM"
CO10,Annual,2022,88,99,93,2.2957773,0.2080316,0.1857425,0.4606414,0.891564,2.7415593,1.312,0.4829305,1.4413618,.030,25344.0,74.297,36,371,"Dec 28 2021  9:08PM","Jan  3 2023 10:40PM"
CO10,Annual,2023,84,99,87,0.584813,0.06029,0.078377,0.090435,0.506436,1.603714,.756,0.168812,0.789799,.033,22128.7,60.290,31,364,"Jan  3 2023 10:40PM","Jan  2 2024  8:15PM"
CO10,Annual,2024,76,99,90,1.1832686,0.1111796,0.1111796,0.198535,0.9370852,3.216267,1.455,0.3097146,1.230917,.043,29729.5,79.414,34,364,"Jan  2 2024  8:15PM","Dec 31 2024 10:40PM"
