site_no,date,no3,units
USGS-385106106571000,9/6/2022,0.018,mg/L
USGS-385106106571000,9/3/2019,0.088,mg/L
USGS-385106106571000,6/7/2021,0.073,mg/L
USGS-385106106571000,9/17/2008,0.171,mg/L
USGS-385106106571000,12/29/1996,0.25,mg/L
USGS-385106106571000,7/19/2021,0.018,mg/L
USGS-385106106571000,8/14/2008,0.069,mg/L
USGS-385106106571000,5/17/2010,0.073,mg/L
USGS-385106106571000,4/12/2007,0.148,mg/L
USGS-385106106571000,12/29/1996,0.28,mg/L
USGS-385106106571000,12/6/2007,0.241,mg/L
USGS-385106106571000,12/28/1996,0.24,mg/L
USGS-385106106571000,7/16/2009,0.06,mg/L
USGS-385106106571000,3/25/2020,0.119,mg/L
USGS-385106106571000,11/5/2019,0.153,mg/L
USGS-385106106571000,10/22/2007,0.125,mg/L
USGS-385106106571000,12/1/2020,0.083,mg/L
USGS-385106106571000,7/8/2010,0.063,mg/L
USGS-385106106571000,2/7/2022,0.301,mg/L
USGS-385106106571000,3/18/2008,0.284,mg/L
USGS-385106106571000,3/14/2022,0.201,mg/L
USGS-385106106571000,11/1/2021,0.028,mg/L
USGS-385106106571000,10/14/2009,0.052,mg/L
USGS-385106106571000,2/12/2009,0.181,mg/L
USGS-385106106571000,4/17/2023,0.216,mg/L
USGS-385106106571000,7/20/2020,0.038,mg/L
USGS-385106106571000,4/20/2021,0.181,mg/L
USGS-385106106571000,1/13/2020,0.52,mg/L
USGS-385106106571000,11/20/2008,0.108,mg/L
USGS-385106106571000,12/28/1996,0.26,mg/L
USGS-385106106571000,1/18/2007,0.252,mg/L
USGS-385106106571000,6/10/2009,0.043,mg/L
USGS-385106106571000,5/22/2008,0.101,mg/L
USGS-385106106571000,8/15/2022,0.014,mg/L
USGS-385106106571000,6/6/2007,0.079,mg/L
USGS-385106106571000,1/25/2021,0.265,mg/L
USGS-385106106571000,1/6/2010,0.239,mg/L
USGS-385106106571000,3/8/2007,0.246,mg/L
USGS-385106106571000,5/23/2022,0.056,mg/L
USGS-385106106571000,1/30/2023,0.198,mg/L
USGS-385106106571000,9/21/2009,0.037,mg/L
USGS-385106106571000,4/29/2009,0.16,mg/L
USGS-385106106571000,2/25/2019,0.521,mg/L
USGS-385106106571000,4/22/2019,0.326,mg/L
USGS-385106106571000,10/13/2020,0.024,mg/L
USGS-385106106571000,5/15/2023,0.114,mg/L
USGS-385106106571000,7/24/2023,0.048,mg/L
USGS-385106106571000,8/17/2010,0.077,mg/L
USGS-385106106571000,8/16/2007,0.138,mg/L
USGS-385106106571000,6/5/2019,0.064,mg/L
USGS-385106106571000,12/6/2022,0.157,mg/L
USGS-385106106571000,12/28/1996,0.23,mg/L
USGS-385106106571000,3/25/1995,0.39,mg/L
USGS-385106106571000,8/29/2023,0.019,mg/L
USGS-385106106571000,3/4/2010,0.188,mg/L
USGS-385106106571000,12/28/1996,0.25,mg/L
USGS-385106106571000,8/5/2019,0.083,mg/L
